Name;Type;Filename;Keyword;Named Pipe;Handle;Hash;C2
Amcache;Feature;Yes;Yes;No;No;Yes;No
Archive;Feature;Yes;No;No;No;Yes;No
AtJobs;Feature;Yes;Yes;No;No;No;No
AuthorizedKeys;Feature;Yes;Yes;No;No;No;No
DumpScan;Feature;No;No;No;No;No;No
Eml;Feature;Yes;No;No;No;Yes;No
ETL;Feature;Yes;Yes;No;No;No;No
EVTX;Feature;Yes;Yes;No;No;No;No
FileScan;Feature;Yes;No;No;No;Yes;No
Lnk;Feature;Yes;Yes;No;No;No;No
LogScan;Feature;Yes;Yes;No;No;No;No
OLE;Feature;Yes;No;No;No;No;No
Prefetch;Feature;Yes;No;No;No;No;No
ProcessConnections;Feature;Yes;Yes;No;No;No;Yes
ProcessHandles;Feature;Yes;Yes;No;Yes;No;No
RegistryHive;Feature;Yes;Yes;No;No;No;No
SHIMCache;Feature;Yes;Yes;No;No;No;No
WER;Feature;Yes;No;No;No;No;No
WMIPersistence;Feature;Yes;Yes;No;No;No;No
Autoruns;Module;Yes;No;No;No;Yes;No
KnowledgeDB;Module;No;Yes;No;No;No;No
DeepDive;Module;No;No;No;No;No;No
Env;Module;Yes;Yes;No;No;No;No
FileScan;Module;Yes;No;No;No;Yes;No
Firewall;Module;No;No;No;No;No;Yes
Hosts;Module;No;Yes;No;No;No;Yes
Cron;Module;Yes;Yes;No;No;No;No
LoggedIn;Module;No;No;No;No;No;No
ProcessCheck;Module;Yes;Yes;No;Yes;No;Yes
Profiles;Module;No;Yes;No;No;No;No
ServiceCheck;Module;Yes;Yes;No;No;No;No
Users;Module;Yes;Yes;No;No;No;No
AtJobs;Module;Yes;Yes;No;No;No;No
DNSCache;Module;No;No;No;No;No;Yes
Eventlog;Module;Yes;Yes;No;No;No;No
Events;Module;Yes;Yes;No;Yes;No;No
LSASessions;Module;No;Yes;No;No;No;No
MFT;Module;Yes;Yes;No;No;No;No
Mutex;Module;Yes;Yes;No;Yes;No;No
NetworkSessions;Module;No;Yes;No;No;No;No
NetworkShares;Module;No;Yes;No;No;No;No
Pipes;Module;No;Yes;Yes;No;No;No
RegistryChecks;Module;Yes;Yes;No;No;No;No
SHIMCache;Module;Yes;Yes;No;No;No;No
TaskScheduler;Module;Yes;Yes;No;No;No;No
WMIStartup;Module;No;Yes;No;No;No;No
