Name;Type;Keyword rules;Log rules;Registry rules;Generic rules;Sigma Rules
Amcache;Feature;Yes;No;No;No;No
Archive;Feature;No;No;No;Yes;No
AtJobs;Feature;Yes;No;No;No;No
AuthorizedKeys;Feature;Yes;No;No;No;No
DumpScan;Feature;No;No;No;Yes;No
Eml;Feature;No;No;No;Yes;No
ETL;Feature;Yes;Yes;No;No;Yes
EVTX;Feature;Yes;Yes;No;No;Yes
FileScan;Feature;No;No;No;Yes;No
Lnk;Feature;Yes;No;No;No;No
LogScan;Feature;Yes;Yes;No;No;Yes
OLE;Feature;No;No;No;Yes;No
Prefetch;Feature;No;No;No;No;No
ProcessConnections;Feature;Yes;No;No;No;No
ProcessHandles;Feature;Yes;No;No;No;No
RegistryHive;Feature;Yes;No;Yes;No;No
SHIMCache;Feature;Yes;No;No;No;No
WER;Feature;No;No;No;No;No
WMIPersistence;Feature;Yes;No;No;No;No
Autoruns;Module;No;No;No;No;No
KnowledgeDB;Module;No;No;No;No;No
DeepDive;Module;No;No;No;Yes;No
Env;Module;Yes;No;No;No;No
FileScan;Module;No;No;No;Yes;No
Firewall;Module;No;No;No;No;No
Hosts;Module;No;No;No;No;No
Cron;Module;Yes;No;No;No;No
LoggedIn;Module;No;No;No;No;No
ProcessCheck;Module;Yes;No;No;No;Yes
Profiles;Module;No;No;No;No;No
ServiceCheck;Module;Yes;No;No;No;No
Users;Module;Yes;No;No;No;No
AtJobs;Module;Yes;No;No;No;No
DNSCache;Module;No;No;No;No;No
Eventlog;Module;Yes;Yes;No;No;Yes
Events;Module;Yes;No;No;No;No
LSASessions;Module;No;No;No;No;No
MFT;Module;Yes;No;No;No;No
Mutex;Module;Yes;No;No;No;No
NetworkSessions;Module;No;No;No;No;No
NetworkShares;Module;No;No;No;No;No
Pipes;Module;No;No;No;No;No
RegistryChecks;Module;Yes;No;Yes;No;No
SHIMCache;Module;Yes;No;No;No;No
TaskScheduler;Module;Yes;No;No;No;No
WMIStartup;Module;No;No;No;No;No
